timestamp,text,video
"[0.0, 94.96]", The End Thank you. The End,video_1
"[0.0, 25.44]", I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me.,video_2
"[27.42, 32.12]"," Roses are red and violets are blue and niggers are black, you know that's true.",video_2
"[32.42, 37.8]"," But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke.",video_2
"[38.34, 44.08]"," No joke, I ain't got a nickel for a coke and I ain't black, you see.",video_2
"[44.6, 47.8]", So Uncle Sam won't help poor nigger hatin' me.,video_2
"[50.04, 52.04]"," Jigaboo, jigaboo, where are you?",video_2
"[52.24, 54.68]", I was here in the woodpile watching you.,video_2
"[55.04, 57.04]"," Jigaboo, jigaboo, come out, no.",video_2
"[57.14, 60.44]"," So I scared all the white men way down south, you know it.",video_2
"[60.86, 64.1]"," But I show it, stick your black jet out, and I blow it.",video_2
"[67.0, 67.52]"," know it. Cause I show it, stick your black jet out and I blow it. And the NAACP can't",video_2
"[75.72, 80.96]"," keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble",video_2
"[80.96, 87.18]"," with his baboon mouth. He's a-doin', It's caused by the trouble he's a-brewin'.",video_2
"[87.18, 92.84]", And the NAACP can't win if white men stick with nigger hatin' me.,video_2
"[94.92, 97.18]"," Hey, Mr. President, what do you say?",video_2
"[97.58, 99.68]", When are we whites gonna have our day?,video_2
"[100.02, 102.32]"," The niggers had theirs such a long, long time.",video_2
"[102.42, 104.88]", I'm a-white and it's time that I have mine.,video_2
"[104.96, 106.86]"," You know it, cause I show it.",video_2
"[107.34, 109.34]"," Stick it right, get out and I'll blow it.",video_2
"[109.86, 115.52]", And the NAACP can't win if a white man stick with nigger hatin' me.,video_2
"[116.98, 118.16]", Nigger hatin' me.,video_2
"[119.5, 120.66]", Nigger hatin' me.,video_2
"[122.0, 123.16]", Nigger hatin' me.,video_2
"[124.52, 125.62]", Nigger hatin' me.,video_2
