text,video,start,end,Chunk_hate,Hate_Label
 The End Thank you. The End,hate_video_1,29.98,94.96,0,1
 I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me.,hate_video_2,5.22,25.44,1,1
" Roses are red and violets are blue and niggers are black, you know that's true.",hate_video_2,27.42,32.12,1,1
" But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke.",hate_video_2,32.42,37.8,1,1
" No joke, I ain't got a nickel for a coke and I ain't black, you see.",hate_video_2,38.34,44.08,1,1
 So Uncle Sam won't help poor nigger hatin' me.,hate_video_2,44.6,47.8,1,1
" Jigaboo, jigaboo, where are you?",hate_video_2,50.04,52.04,1,1
 I was here in the wood while I was watchin' you.,hate_video_2,52.24,54.66,1,1
" Jigaboo, jigaboo, come out, no.",hate_video_2,55.06,57.04,1,1
" So I scared all the white men way down south, you know it.",hate_video_2,57.14,60.44,1,1
" But I show it, stick your black jet out, and I blow it.",hate_video_2,60.86,64.1,1,1
" know it. Cause I show it, stick your black jet out and I blow it. And the NAACP can't",hate_video_2,67.0,67.52,1,1
" keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble",hate_video_2,75.7,80.96,1,1
" with his baboon mouth. He's a-doin', It's caused by the trouble he's a-brewin'.",hate_video_2,80.96,87.18,1,1
 And the NAACP can't win if white men stick with nigger hatin' me.,hate_video_2,87.18,92.84,1,1
" Hey, Mr. President, what do you say?",hate_video_2,94.92,97.18,1,1
 When are we whites gonna have our day?,hate_video_2,97.58,99.68,1,1
" The niggers had theirs such a long, long time.",hate_video_2,100.02,102.32,1,1
 I'm a-white and it's time that I have mine.,hate_video_2,102.42,104.88,1,1
" You know it, cause I show it.",hate_video_2,104.96,106.86,1,1
" Stick it back, get out and I'll blow it.",hate_video_2,107.34,109.34,1,1
 And the NAACP can't win if a white man stick with nigger hatin' me.,hate_video_2,109.86,115.52,1,1
 Nigger hatin' me.,hate_video_2,116.98,118.16,1,1
 Nigger hatin' me.,hate_video_2,119.5,120.66,1,1
 Nigger hatin' me.,hate_video_2,122.0,123.16,1,1
 Nigger hatin' me.,hate_video_2,124.52,125.62,1,1
 I simply must get through!,hate_video_3,0.74,2.0,0,1
" Sorry, you're much too big!",hate_video_3,2.0,4.0,1,1
 Yeah man!,hate_video_3,4.0,5.0,1,1
 Bobby two pistols in his bitch!,hate_video_3,5.0,7.0,1,1
 Yeah man!,hate_video_3,7.0,8.0,1,1
 Fuck all those niggers man!,hate_video_3,8.0,10.0,1,1
 Martin Luther King deserved to be killed!,hate_video_3,10.0,12.0,1,1
 And fuck your nigger!,hate_video_3,12.0,14.0,1,1
 Just grab and steal your shit man!,hate_video_3,14.0,16.0,1,1
 Fuck those niggers man!,hate_video_3,16.0,18.0,1,1
 Fuck all niggers!,hate_video_3,18.0,20.0,1,1
 Fuck all niggers!,hate_video_3,20.0,22.0,1,1
 Fuck all niggers!,hate_video_3,22.0,24.0,1,1
 Fuck all niggers! Fuck all those niggers Fuck all niggers Fuck all niggers,hate_video_3,24.0,25.06,1,1
 Fuck all those niggers,hate_video_3,25.06,26.8,1,1
 Fuck all those niggers,hate_video_3,26.8,28.48,1,1
 Fuck all those niggers,hate_video_3,28.48,30.2,1,1
 Fuck all those niggers,hate_video_3,30.2,31.9,1,1
 Rapping still my shit,hate_video_3,31.9,33.6,1,1
 Rapping still my shit,hate_video_3,33.6,35.18,1,1
 They wanna rap and steal my shit,hate_video_3,35.18,36.92,1,1
 Because they can't get shit,hate_video_3,36.92,38.68,1,1
 Go and get a job,hate_video_3,38.68,40.5,1,1
 Stop trying to rob,hate_video_3,40.5,42.2,1,1
 Stop trying to fuck my mom,hate_video_3,42.2,43.88,1,1
 My dick is bigger than yards,hate_video_3,43.88,45.7,1,1
" Fuck all niggers, they can burn in hell",hate_video_3,45.7,49.0,1,1
" Fuck Rosa Parks, I'll slap that bitch as well",hate_video_3,49.0,52.5,1,1
" Niggers need to burn, niggers need to learn",hate_video_3,52.5,55.9,1,1
" Niggers can't pass class, niggers can't learn",hate_video_3,55.9,59.28,1,1
" Stupid ass bitch, stupid ass black fucks",hate_video_3,59.28,62.9,1,1
" Try to fucking take my shit and get a fucking job, yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah.",hate_video_3,62.9,73.0,1,1
 I'm shooting a black nigger in his head again.,hate_video_3,82.96,83.6,1,1
" And bitch, I am not George Zimmerman.",hate_video_3,86.2,86.66,1,1
 I'm gonna kill that nigger dead.,hate_video_3,88.44,88.94,1,1
 Kill that nigger dead.,hate_video_3,90.2,90.62,1,1
 Record that shit and put it on Worldstar as well.,hate_video_3,93.6,94.04,1,1
 Fuck all those niggers.,hate_video_3,95.36,95.84,1,1
 They can burn in hell.,hate_video_3,97.02,97.52,1,1
 Fuck Eric Gartner.,hate_video_3,98.72,99.02,1,1
 He fat as fucking hell.,hate_video_3,100.42,100.94,0,1
 Fuck all those niggers.,hate_video_3,102.14,102.28,1,1
 I'll choke him out.,hate_video_3,103.28,104.08,1,1
 Fuck all those niggers. i'll choke em out fuck all those niggas i'll shoot it out if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down,hate_video_3,106.8,113.58,1,1
 they like to jump they like to rob they like to take a nigga car and rap at the same time,hate_video_3,113.58,120.26,1,1
 stupid ass niggas all they can do is rhyme They can never get a motherfucking 9 to 5,hate_video_3,120.26,127.0,1,1
 Stupid ass niggers don't know 5 plus 5,hate_video_3,127.0,130.0,1,1
 They just know that if I can do a rhyme I can get time,hate_video_3,130.0,134.0,1,1
" Yeah, fuck all those niggers",hate_video_3,134.0,136.0,1,1
 Fuck all those niggers,hate_video_3,136.0,138.0,1,1
 Fuck all those niggers,hate_video_3,138.0,140.0,1,1
 Fuck all those niggers,hate_video_3,140.0,141.0,1,1
" Yeah, fuck all those niggers",hate_video_3,141.0,143.0,1,1
" Fuck all those niggers Fuck all those niggers Yeah, fuck all those niggers, yeah Fuck all those niggers Fuck all those niggers",hate_video_3,143.0,145.06,1,1
" Fuck all those niggers, yeah",hate_video_3,145.06,147.06,1,1
 Fuck all those niggers,hate_video_3,147.06,148.5,1,1
