timestamp,text,video
"[0.0, 94.96]", The End Thank you. The End,hate_video_1
"[0.0, 25.44]", I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me.,hate_video_2
"[27.42, 32.12]"," Roses are red and violets are blue and niggers are black, you know that's true.",hate_video_2
"[32.42, 37.8]"," But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke.",hate_video_2
"[38.34, 44.08]"," No joke, I ain't got a nickel for a coke and I ain't black, you see.",hate_video_2
"[44.6, 106.86]"," So Uncle Sam won't help poor nigger hatin' me. Jigaboo, jigaboo, where are you? I was here in the woodpile watching you. Jigaboo, jigaboo, come out, no. So I scared all the white men way down south, you know it. But I show it, stick your black jet out, and I blow it. And the end And the NAACP can't keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble with his baboon mouth. He's a-doin', he's caused by the trouble he's a-brewin'. And the NAACP can't win if white men stick with nigger hatin' me. Hey, Mr. President, what do you say? When are we whites gonna have our day? The niggers had theirs such a long, long time. I'm a-white and it's time that I have mine. You know it, cause I show it.",hate_video_2
"[107.34, 109.34]"," Stick it right, get out and I'll blow it.",hate_video_2
"[109.86, 115.52]", And the NAACP can't win if a white man stick with nigger hatin' me.,hate_video_2
"[116.98, 118.16]", Nigger hatin' me.,hate_video_2
"[119.5, 120.66]", Nigger hatin' me.,hate_video_2
"[122.0, 123.16]", Nigger hatin' me.,hate_video_2
"[124.52, 125.62]", Nigger hatin' me.,hate_video_2
"[0.0, 166.04]"," I simply must get through! Sorry, you're much too big! Yeah man! Bobby two pistols in his bitch! Yeah man! Fuck all those niggers man! Martin Luther King deserved to be killed! And fuck your nigger! Just grab and steal your shit man! Fuck those niggers man! Fuck all niggers! Fuck all niggers! Fuck all niggers! Fuck all niggers! Fuck all those niggers! niggers fuck all those niggers Fuck all niggers Fuck all niggers Fuck all those niggers Fuck all those niggers Fuck all those niggers Fuck all those niggers Rapping still my shit Rapping still my shit They wanna rap and steal my shit Because they can't get shit Go and get a job Stop trying to rob Stop trying to fuck my mom My dick is bigger than yards Fuck all niggers, they can burn in hell Fuck Rosa Parks, I'll slap that bitch as well Niggers need to burn, niggers need to learn Niggers can't pass class, niggers can't learn Stupid ass bitch, stupid ass black fucks Try to fucking take my shit shit and get a fucking job, yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah, bitch my name is Bobby Two Pistols, you try to rob me I got a pistol, I'm shooting a black nigger in his head again, and bitch I am not George Zimmerman. I'm gonna kill that nigger dead. Kill that nigger dead. Record that shit and put it on Worldstar as well. Fuck all those niggers. They can burn in hell. Fuck Eric Gartner. He fat as fucking hell. Fuck all those niggers. I'll choke him out. Fuck all those niggers. i'll shoot it out if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down they like to jump they like to rob they like to take a nigga car and rap at the same time stupid ass niggas all they can do is rhyme they can never get a motherfucking 9 to 5 Stupid ass niggers don't know 5 plus 5 They just know that if I can do a rhyme I can get time Yeah, fuck all those niggers Fuck all those niggers Fuck all those niggers Fuck all those niggers Yeah, fuck all those niggers Fuck all those niggers Fuck all those niggers, yeah Fuck all those niggers Niggers can burn in hell Trayvon as well Niggers can burn in hell Niggers can burn in hell Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger. Bobby two pistols in this bitch.",hate_video_3
"[167.06, 169.42]", I saw the niggers in this bitch.,hate_video_3
"[169.92, 172.6]", You motherfuckers used to be slaves.,hate_video_3
"[173.02, 175.92]", Now you think you can ride in my Escalade.,hate_video_3
"[176.32, 179.22]"," Stupid ass nigger, better clean my car good.",hate_video_3
"[179.5, 182.76]", Before I get this whip out and then shoot you in your hood.,hate_video_3
"[183.32, 184.26]", Dumb ass nigger.,hate_video_3
"[184.9, 205.12]"," Stupid ass nigger. You calling me a cracker? Well it's better to be a nigger. Better than being a nigger. Bitch you're so black you look like a damn shade. Bitch, clean my car while I drink lemonade. Ya fuckin'' slave Melvin on the beat",hate_video_3
"[205.12, 208.56]"," Buy me two pistols man, fuck all those niggers man",hate_video_3
"[208.56, 231.12]", Real nigger anthem Продолжение следует...,hate_video_3
