lr,weight_decay,heads,dropout,avg_cv_FNR,avg_cv_f1_macro
0.001,0.01,4,0.2,0.39644059178166435,0.6441625073462846
0.001,0.01,4,0.6,0.3408610656094454,0.6282523451809443
0.001,0.01,12,0.2,0.3459743494957511,0.6344744113006218
0.001,0.01,12,0.6,0.3294324082646852,0.6320538929354813
0.001,0.1,4,0.2,0.4909855513840985,0.48924301500928297
0.001,0.1,4,0.6,0.41105477722271405,0.4637237520758548
0.001,0.1,12,0.2,0.47111107493587373,0.4823156932568201
0.001,0.1,12,0.6,0.3429110937017781,0.4405241346651062
1e-06,0.01,4,0.2,0.379268007637497,0.5763910774152048
1e-06,0.01,4,0.6,0.3806200254809329,0.5701711420666626
1e-06,0.01,12,0.2,0.3844396376597786,0.5768773243465255
1e-06,0.01,12,0.6,0.39761252477155906,0.5696868216490631
1e-06,0.1,4,0.2,0.4707231136026806,0.5012786184215587
1e-06,0.1,4,0.6,0.4612497278378626,0.4985916689405364
1e-06,0.1,12,0.2,0.4589330339832441,0.49469235866053796
1e-06,0.1,12,0.6,0.4695192017029493,0.4987642727540396
